"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 21:16:25 GMT 2023","Mon Feb 20 21:16:26 GMT 2023","1510","firefox","example.spec.ts","","","","get started link",""
"passed","Mon Feb 20 21:16:20 GMT 2023","Mon Feb 20 21:16:25 GMT 2023","4380","firefox","example.spec.ts","","","","has title",""
"passed","Mon Feb 20 21:16:19 GMT 2023","Mon Feb 20 21:16:20 GMT 2023","720","chromium","example.spec.ts","","","","get started link",""
"passed","Mon Feb 20 21:16:27 GMT 2023","Mon Feb 20 21:16:33 GMT 2023","5769","webkit","example.spec.ts","","","","has title",""
"passed","Mon Feb 20 21:16:33 GMT 2023","Mon Feb 20 21:16:36 GMT 2023","2336","webkit","example.spec.ts","","","","get started link",""
"passed","Mon Feb 20 21:16:17 GMT 2023","Mon Feb 20 21:16:19 GMT 2023","1439","chromium","example.spec.ts","","","","has title",""
